prefix,group,source,round,source_cycle,execution_index,benchmark,cpu,raw_benchmark,iterations,ns_op,bytes_op,allocs_op,comparison,note,raw_file
r9,public,baseline,1,1,13,BenchmarkCompileOpaqueAnnotationPayload,,BenchmarkCompileOpaqueAnnotationPayload,222,1082793,361384,2874,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateUndeclaredRootXSIType,,BenchmarkSessionValidateUndeclaredRootXSIType,159129,1602,32,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileSourceDocuments/distinct,,BenchmarkCompileSourceDocuments/distinct,135,1751091,10181559,8054,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileSourceDocuments/duplicate_identity,,BenchmarkCompileSourceDocuments/duplicate_identity,96,2598193,10625095,13699,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileStreamingSource/4096B,,BenchmarkCompileStreamingSource/4096B,1100,209267,166840,361,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileStreamingSource/1048576B,,BenchmarkCompileStreamingSource/1048576B,14,15619455,2384442,376,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileStreamingSource/16777216B,,BenchmarkCompileStreamingSource/16777216B,1,229673458,36381256,383,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateUnionLateMember,,BenchmarkSessionValidateUnionLateMember,1429,164194,32,1,paired,matching public API workload added in both snapshots,r9-public-1-baseline.txt
r9,public,current,1,2,14,BenchmarkSessionValidateAllContent/4,,BenchmarkSessionValidateAllContent/4,93980,2615,0,0,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateAllContent/16,,BenchmarkSessionValidateAllContent/16,26529,9096,0,0,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateAllContent/64,,BenchmarkSessionValidateAllContent/64,6970,34160,0,0,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateAllContent/256,,BenchmarkSessionValidateAllContent/256,1844,128338,0,0,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateAllContent/1024,,BenchmarkSessionValidateAllContent/1024,433,525266,1960,513,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileSmallSchema,,BenchmarkCompileSmallSchema,2313,100209,198809,569,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileAndFirstSession,,BenchmarkCompileAndFirstSession,2263,110427,272549,571,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateRepeatedSmallDocument,,BenchmarkValidateRepeatedSmallDocument,757,317308,76080,28,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateRepeatedSmallDocument,,BenchmarkSessionValidateRepeatedSmallDocument,906,273679,34,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_false,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_false,34149,7103,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_true,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_true,18614,12526,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_false,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_false,8805,26556,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_true,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_true,5037,47219,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_false,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_false,2338,107052,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_true,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_true,1270,195686,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateRepeatedXSIType,,BenchmarkSessionValidateRepeatedXSIType,2818,86703,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateIDAttributeStart,,BenchmarkSessionValidateIDAttributeStart,2394,105124,840,101,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateSimpleIDEnd,,BenchmarkSessionValidateSimpleIDEnd,2984,85241,832,101,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateRepeatedQNameValues,,BenchmarkSessionValidateRepeatedQNameValues,3300,72873,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateRepeatedLaxWildcard,,BenchmarkSessionValidateRepeatedLaxWildcard,187540,1320,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateStringLengthFacet,,BenchmarkSessionValidateStringLengthFacet,38119,6314,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateWideChoice,,BenchmarkSessionValidateWideChoice,100,2397007,236,3,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateSubstitutionGroup,,BenchmarkValidateSubstitutionGroup,355,784129,76840,37,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateDateDecimalRows,,BenchmarkSessionValidateDateDecimalRows,1317,173802,33,1,paired,,r9-public-1-current.txt
